identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
*.*a2z*.*,OTHER,,false,false,,,,critical,,2024-04-18 18:29:27 UTC,2025-06-12 11:33:43 UTC
*.amazon.es,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
*.amazon.cn,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:04 UTC,2024-02-29 17:21:04 UTC
1532153219,APPLE_STORE_APP_ID,"Amazon Freevee
https://apps.apple.com/us/app/amazon-freevee-movies-live-tv/id1532153219",true,true,,,,critical,,2025-01-07 14:34:09 UTC,2025-01-07 14:34:09 UTC
*.amazon.com.ng,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
*.amazon.com.au,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
*.amazon.se,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
1552455423,APPLE_STORE_APP_ID,"Amazon Astro
https://apps.apple.com/us/app/amazon-astro/id1552455423
",true,true,,,,critical,,2025-01-07 14:24:24 UTC,2025-01-07 14:25:36 UTC
297606951,APPLE_STORE_APP_ID,https://apps.apple.com/us/app/amazon-shopping/id297606951,true,true,high,high,high,critical,,2020-06-30 18:57:46 UTC,2025-01-07 01:49:13 UTC
*.amazon.co.uk,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
*.amazon.de,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
1265170914,APPLE_STORE_APP_ID,"Amazon Live Creator	https://apps.apple.com/us/app/amazon-live-creator/id1265170914
",true,true,,,,critical,,2025-01-07 14:29:03 UTC,2025-01-07 14:29:23 UTC
in.amazon.mShop.android.business.shopping,GOOGLE_PLAY_APP_ID,"Amazon Business (IN)
https://play.google.com/store/apps/details?id=in.amazon.mShop.android.business.shopping",true,true,,,,critical,,2025-01-07 14:34:10 UTC,2025-01-07 14:34:10 UTC
com.amazon.sellermobile.android,GOOGLE_PLAY_APP_ID,"Amazon Seller
https://play.google.com/store/apps/details?id=com.amazon.sellermobile.android",true,true,,,,critical,,2025-01-07 15:54:23 UTC,2025-01-07 15:54:55 UTC
*.amazon.com.br,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
com.amazon.enterprise.access.android,GOOGLE_PLAY_APP_ID,AEA - Amazon Employees	-->	https://play.google.com/store/apps/details?id=com.amazon.enterprise.access.android,true,true,,,,critical,,2025-05-07 17:57:38 UTC,2025-05-07 18:09:34 UTC
com.imdbtv.livingroom,GOOGLE_PLAY_APP_ID,"Amazon Freevee (TV) https://play.google.com/store/apps/details?id=com.imdbtv.livingroom

**Android TV**: follow the documentation [here](https://developer.android.com/training/tv/get-started/create#run-on-a-virtual-device) to create an Android TV virtual device. The “Android 14.0 (Google TV)” image includes the Play Store and can be used to install and run the in-scope apps.",true,true,,,,critical,,2025-01-07 14:34:08 UTC,2025-01-07 14:34:08 UTC
*.amazon.in,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
*.amazon.co.jp,WILDCARD,,true,true,,,,critical,,2024-02-29 17:21:05 UTC,2024-02-29 17:21:05 UTC
1498197033,APPLE_STORE_APP_ID,"Amazon Business	https://apps.apple.com/us/app/amazon-business-b2b-shopping/id1498197033
",true,true,,,,critical,,2025-01-07 14:28:09 UTC,2025-01-07 14:28:26 UTC
com.amazon.mp3.automotiveOS,GOOGLE_PLAY_APP_ID,"Amazon Music - Automotive
https://play.google.com/store/apps/details?id=com.amazon.mp3.automotiveOS

**Android Automotive (AAOS)**: follow the documentation [here](https://developer.android.com/training/cars/testing/emulator) to create an AAOS virtual device. The “Android 14.0 (Automotive)” image includes the Play Store and can be used to install and run the in-scope apps.",true,true,,,,critical,,2025-01-07 14:34:08 UTC,2025-01-07 14:34:08 UTC
com.amazon.warhol.android,GOOGLE_PLAY_APP_ID,"Amazon Live Creator
https://play.google.com/store/apps/details?id=com.amazon.warhol.android",true,true,,,,critical,,2025-01-09 16:35:43 UTC,2025-01-09 16:36:12 UTC
*.amazon.com.co,WILDCARD,,true,true,,,,critical,,2024-02-13 18:27:20 UTC,2024-02-13 18:27:20 UTC
com.amazon.flex.rabbit,GOOGLE_PLAY_APP_ID,"Amazon Flex
https://play.google.com/store/apps/details?id=com.amazon.flex.rabbit",true,true,,,,critical,,2025-01-07 14:34:08 UTC,2025-01-07 14:34:08 UTC
